50	857
0	2	443
0	4	333
0	8	344
0	13	847
0	14	25
0	16	780
0	18	364
0	26	896
0	30	708
0	37	474
0	38	841
0	48	823
0	49	68
1	0	459
1	5	947
1	7	560
1	8	843
1	9	757
1	10	965
1	11	439
1	12	785
1	14	595
1	20	864
1	21	40
1	24	481
1	25	87
1	26	539
1	27	939
1	30	789
1	33	931
1	35	482
1	36	869
1	41	534
1	42	967
1	43	388
1	47	586
2	1	624
2	4	93
2	8	118
2	13	626
2	15	81
2	21	297
2	22	390
2	25	966
2	26	924
2	27	420
2	30	535
2	35	819
2	37	440
2	39	935
2	43	661
2	44	277
2	46	750
2	49	693
3	0	638
3	2	524
3	9	983
3	11	445
3	13	247
3	14	847
3	20	384
3	23	484
3	24	849
3	26	67
3	29	267
3	31	609
3	32	364
3	36	506
3	37	542
3	38	884
3	39	832
3	41	600
3	42	754
3	48	261
4	2	577
4	6	798
4	9	856
4	10	59
4	12	611
4	13	324
4	14	341
4	15	480
4	18	297
4	22	250
4	23	214
4	24	533
4	25	487
4	28	784
4	31	48
4	36	906
4	37	388
4	40	600
4	42	96
4	44	444
4	45	516
4	46	371
4	49	496
5	3	395
5	4	765
5	9	842
5	11	303
5	12	799
5	13	389
5	15	52
5	16	766
5	19	232
5	22	268
5	23	721
5	27	937
5	30	142
5	31	621
5	35	870
5	36	187
5	37	426
5	40	979
5	48	631
6	13	687
6	16	61
6	19	322
6	25	89
6	27	425
6	30	417
6	40	377
6	41	674
6	42	887
6	43	277
6	44	266
6	47	958
6	48	179
7	4	394
7	5	817
7	8	145
7	10	561
7	11	678
7	15	866
7	16	797
7	19	129
7	22	966
7	25	557
7	28	925
7	31	78
7	34	749
7	35	829
7	39	396
7	40	47
7	41	493
7	49	696
8	0	735
8	6	178
8	7	901
8	9	606
8	10	647
8	11	245
8	14	385
8	15	701
8	16	341
8	18	7
8	19	173
8	23	74
8	26	446
8	29	550
8	31	825
8	32	300
8	37	700
8	39	679
8	46	977
9	2	963
9	8	645
9	10	442
9	11	794
9	18	192
9	21	870
9	22	202
9	26	362
9	28	729
9	29	881
9	30	879
9	32	563
9	38	803
9	39	376
9	40	888
9	41	198
9	45	750
9	47	754
10	0	54
10	2	982
10	3	768
10	12	844
10	18	60
10	20	828
10	21	703
10	24	23
10	25	171
10	26	396
10	40	709
10	41	844
10	47	254
11	0	738
11	3	210
11	6	178
11	9	731
11	12	845
11	14	660
11	15	235
11	27	23
11	29	466
11	33	476
11	36	256
11	38	80
11	40	976
11	41	824
11	44	147
12	1	212
12	8	479
12	14	549
12	15	953
12	22	165
12	36	730
12	37	887
12	40	430
12	42	903
12	45	606
